Producer,Appellation,Cuvée / Wine,Region,Colour,Vintage,Format,Qty,Price/bottle,Price basis,Packaging / note
Maison Leroy,,Cote De Nuits Villages Rouge,Burgundy,Red,2015,75cl,48,341.055,ex-VAT,OC
DRC,,Romanee Conti,Burgundy,Red,2010,75cl,2,18364.5,ex-VAT,Loose
DRC,,Romanee Conti,Burgundy,Red,2010,75cl,1,18364.5,ex-VAT,Loose
Moet & Chandon,,Dom Perignon,Champagne,White,1996,75cl,6,393.525,ex-VAT,GB_OC
Vieux Chateau Certan,,,Bordeaux,Red,1982,75cl,4,314.82,ex-VAT,OWC
Lucien Le Moine,,Richebourg,Burgundy,Red,2015,75cl,6,1101.87,ex-VAT,OC
Haut Brion,,,Bordeaux,Red,1955,75cl,1,3148.2,ex-VAT,Loose
Promontory,,Napa Blend,California,Red,2012,75cl,12,603.405,ex-VAT,OWC
Krug,,Clos du Mesnil,Champagne,White,1996,1.5L,1,6296.4,ex-VAT,OWC
Drouhin Laroze,,Bonnes Mares,Burgundy,Red,2016,75cl,18,136.42200000000003,ex-VAT,OC
Lafite Rothschild,,,Bordeaux,Red,1986,75cl,42,813.2849999999999,ex-VAT,OWC
Lafite Rothschild,,,Bordeaux,Red,1986,75cl,24,787.05,ex-VAT,OWC
Armand Rousseau,,Chambertin Clos De Beze,Burgundy,Red,2005,75cl,4,3463.0200000000004,ex-VAT,Loose
Armand Rousseau,,Chambertin Clos De Beze,Burgundy,Red,2005,75cl,2,3463.0200000000004,ex-VAT,Loose
Petrus,,,Bordeaux,Red,1973,75cl,2,1469.16,ex-VAT,Loose
Domaine Ponsot,,Clos Roche Vv,Burgundy,Red,1990,75cl,1,2780.91,ex-VAT,Loose
Petrus,,,Bordeaux,Red,1961,75cl,1,14691.6,ex-VAT,Loose
DRC,,Romanee Saint Vivant,Burgundy,Red,1989,75cl,1,2203.74,ex-VAT,Loose
Henri Jayer et Georges,,Echezeaux,Burgundy,Red,1988,75cl,1,5771.7,ex-VAT,Loose
Domaine Leflaive,,Chevalier Montrachet,Burgundy,White,2008,1.5L,2,2098.7999999999997,ex-VAT,Loose
Domaine Leroy,,Nuits Saint Georges Boudots,Burgundy,Red,1996,75cl,4,2361.15,ex-VAT,Loose
Francois Lamarche,,Grande Rue Cuvee 1959,Burgundy,Red,2015,3L,1,3935.25,ex-VAT,OWC
Moet & Chandon,,Dom Perignon,Champagne,White,1988,1.5L,3,1154.34,ex-VAT,Loose
Domaine Leflaive,,Chevalier Montrachet,Burgundy,White,1999,75cl,3,2098.7999999999997,ex-VAT,Loose
Moet & Chandon,,Dom Perignon,Champagne,White,1990,75cl,12,419.76,ex-VAT,GB_OC
Moet & Chandon,,Dom Perignon,Champagne,White,1990,75cl,30,419.76,ex-VAT,OC
Moet & Chandon,,Dom Perignon,Champagne,White,1990,75cl,1,445.995,ex-VAT,GB
Jean Grivot,,Richebourg,Burgundy,Red,2015,75cl,2,1154.34,ex-VAT,OWC
Hundred Acre,,Kayli Morgan,California,Red,2014,75cl,6,393.525,ex-VAT,OWC
Chezeaux,,Chambertin,Burgundy,Red,2016,75cl,2,209.88,ex-VAT,Loose
Domaine Leroy,,Richebourg,Burgundy,Red,2009,75cl,2,7870.5,ex-VAT,Loose
Latour,,,Bordeaux,Red,1986,75cl,2,550.935,ex-VAT,Loose
Jean Grivot,,Richebourg,Burgundy,Red,2009,75cl,1,996.9299999999998,ex-VAT,Loose
Mouton Rothschild,,,Bordeaux,Red,1993,75cl,2,377.78400000000005,ex-VAT,Loose
Domaine Leflaive,,Batard Montrachet,Burgundy,White,2007,1.5L,6,1888.92,ex-VAT,Loose
DRC,,Vosne Romanee Duvault Blochet,Burgundy,Red,2006,75cl,1,2308.68,ex-VAT,Loose
DRC,,Richebourg,Burgundy,Red,2004,75cl,1,2990.79,ex-VAT,Loose
Port Ellen,,24YO - 3rd release,Islay,,1979,70cl,4,2623.5,ex-VAT,GB
Domaine Leflaive,,Chevalier Montrachet,Burgundy,White,1991,75cl,4,1888.92,ex-VAT,Loose
Joseph Drouhin,,Chambolle Musigny Amoureuses,Burgundy,Red,2016,75cl,6,524.6999999999999,ex-VAT,OWC
